time,weight,,,,
70.592899,0,,,,
70.687427,0,,,,
70.799408,0,,,,
70.910822,0,,,,
71.007718,0,,,,
71.119397,0,,,,
71.215604,0,,,,
71.32915,0,,,,
71.423647,0,,,,
71.535938,0,,,,
71.648086,0,,,,
71.744531,0,,,,
71.840279,0.2,,,,
71.952815,0.2,,,,
72.048906,0.2,,,,
72.160201,0.2,,,,
72.257903,0.2,,,,
72.369142,0.2,,,,
72.464503,0.2,,,,
72.576656,0.2,,,,
72.674231,0.2,,,,
72.784518,0.2,,,,
72.880464,0.2,,,,
72.994384,0.1,,,,
73.10413,0.1,,,,
73.200827,0.1,,,,
73.313715,0.1,,,,
73.409141,0.1,,,,
73.521071,0.2,,,,
73.618893,0.2,,,,
73.729541,0.2,,,,
73.826993,0.2,,,,
73.937619,0.2,,,,
74.034233,0.2,,,,
74.147007,0.2,,,,
74.241653,0.2,,,,
74.354293,0.2,,,,
74.449173,0.2,,,,
74.561994,0.2,,,,
74.659191,0.2,,,,
74.770289,0.2,,,,
74.867639,0.2,,,,
74.978967,0.2,,,,
75.074064,0.2,,,,
75.170397,0.2,,,,
75.284242,0.2,,,,
75.394547,0.2,,,,
75.49031,0.2,,,,
75.60253,0.2,,,,
75.699149,0.2,,,,
75.810409,0.2,,,,
75.906467,0.2,,,,
76.018143,0.2,,,,
76.114506,0.2,,,,
76.228424,0.2,,,,
76.324488,0.2,,,,
76.434928,0.2,,,,
76.531929,0.2,,,,
76.6437,0.2,,,,
76.73931,0.2,,,,
76.851377,0.2,,,,
76.947657,0.2,,,,
77.059453,0.2,,,,
77.155641,0.2,,,,
77.26913,0.2,,,,
77.379185,0.2,,,,
77.477331,0.1,,,,
77.587156,0.1,,,,
77.683522,0.1,,,,
77.795907,0.1,,,,
77.893476,0.1,,,,
78.00384,0.1,,,,
78.099878,0.1,,,,
78.213185,0,,,,
78.309167,0,,,,
78.404251,0,,,,
78.515773,0,,,,
78.612456,0,,,,
78.724542,0,,,,
78.837009,0,,,,
78.934282,0,,,,
79.043884,0,,,,
79.14041,0,,,,
79.236714,0,,,,
79.349144,0,,,,
79.444756,0,,,,
79.574522,0,,,,
79.669127,0,,,,
79.766807,0,,,,
79.878189,0,,,,
79.974622,0,,,,
80.085523,0,,,,
80.182819,0,,,,
80.293658,0,,,,
80.389439,0,,,,
80.501385,0,,,,
80.597803,0,,,,
80.709159,0,,,,
80.821918,0,,,,
80.918767,0,,,,
81.014191,0,,,,
81.126051,0,,,,
81.223609,0,,,,
81.334556,0,,,,
81.446023,0,,,,
81.541486,0,,,,
81.654013,0,,,,
81.750387,0,,,,
81.846984,0,,,,
81.958899,0,,,,
82.054089,0,,,,
82.166966,0,,,,
82.278279,0,,,,
82.374725,0,,,,
82.486739,0,,,,
82.58321,0,,,,
82.679173,0,,,,
82.792704,0,,,,
82.88889,0,,,,
83.014905,0,,,,
83.111506,0,,,,
83.209027,0,,,,
83.319462,0,,,,
83.41606,0,,,,
83.511591,0,,,,
83.623792,0,,,,
83.735891,0,,,,
83.833435,0,,,,
83.943891,0,,,,
84.0392,0,,,,
84.15221,0,,,,
84.24913,0,,,,
84.360397,0,,,,
84.474239,0,,,,
84.568153,0,,,,
84.664443,0,,,,
84.777775,0,,,,
84.872647,0,,,,
